,Ville,Latitude,Longitude,Temperature,Humidite
0,Mont Saint Michel,48.6359541,-1.511459954959514,26.51,39.0
1,St Malo,48.649518,-2.0260409,24.01,53.0
2,Bayeux,49.2764624,-0.7024738,27.03,37.0
3,Le Havre,49.4938975,0.1079732,20.63,59.0
4,Rouen,49.4404591,1.0939658,27.57,42.0
5,Paris,48.8534951,2.3483915,29.7,30.0
6,Amiens,49.8941708,2.2956951,26.23,49.0
7,Lille,50.6365654,3.0635282,26.6,48.0
8,Strasbourg,48.584614,7.7507127,27.46,53.0
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,25.36,54.0
10,Colmar,48.0777517,7.3579641,27.18,58.0
11,Eguisheim,48.0447968,7.3079618,26.92,58.0
12,Besancon,47.2380222,6.0243622,28.12,52.0
13,Dijon,47.3215806,5.0414701,27.24,54.0
14,Annecy,45.8992348,6.1288847,29.13,46.0
15,Grenoble,45.1875602,5.7357819,33.15,40.0
16,Lyon,45.7578137,4.8320114,29.71,43.0
17,Gorges du Verdon,43.7496562,6.3285616,30.91,31.0
18,Bormes les Mimosas,43.1506968,6.3419285,30.78,53.0
19,Cassis,43.2140359,5.5396318,27.78,59.0
20,Marseille,43.2961743,5.3699525,28.65,56.0
21,Aix en Provence,43.5298424,5.4474738,34.91,30.0
22,Avignon,43.9492493,4.8059012,37.84,23.0
23,Uzes,44.0121279,4.4196718,34.83,28.0
24,Nimes,43.8374249,4.3600687,36.61,24.0
25,Aigues Mortes,43.5661521,4.19154,30.59,45.0
26,Saintes Maries de la mer,43.4515922,4.4277202,28.57,53.0
27,Collioure,42.52505,3.0831554,31.74,38.0
28,Carcassonne,43.2130358,2.3491069,37.95,18.0
29,Ariege,42.9427221,1.6164435,32.53,33.0
30,Toulouse,43.6044622,1.4442469,34.6,22.0
31,Montauban,44.0175835,1.3549991,34.4,24.0
32,Biarritz,43.4832523,-1.5592776,30.45,47.0
33,Bayonne,43.4945144,-1.4736657,32.47,39.0
34,La Rochelle,46.1591126,-1.1520434,28.14,50.0
